date,league,host,guest,h_res,g_res,b1,bX,b2,HA_win,HA_draw,HA_loss,HA_goal_avg,HA_loss_avg,HA_yellow,HA_red,HA_corner,HA_penalty,HA_offside,GA_win,GA_draw,GA_loss,GA_goal_avg,GA_loss_avg,GA_yellow,GA_red,GA_corner,GA_penalty,GA_offside,HJ_win,HJ_draw,HJ_loss,HJ_goal_avg,HJ_loss_avg,HJ_yellow,HJ_red,HJ_corner,HJ_penalty,HJ_offside,GJ_win,GJ_draw,GJ_loss,GJ_goal_avg,GJ_loss_avg,GJ_yellow,GJ_red,GJ_corner,GJ_penalty,GJ_offside,H_place,G_place,num_place
09_03_2025,РОССИЯ. ПРЕМЬЕР-ЛИГА,Крылья Советов,Акрон,0,2,2.0,3.7,3.8,2,2,6,1.2,1.9,1.4,0.0,3.2,8.5,1.1,6,1,3,1.2,1.1,1.0,0.0,2.0,5.0,0.5,0,0,1,1.0,,0.0,4.0,9.0,1.0,,1,0,0,2.0,,0.0,3.0,3.0,0.0,,10,9,16
09_03_2025,РОССИЯ. ПРЕМЬЕР-ЛИГА,Рубин,Спартак Москва,2,1,5.2,3.8,1.72,5,2,3,1.5,1.1,2.0,0.0,2.7,8.1,0.6,8,0,2,2.2,1.0,0.8,0.0,2.4,6.9,0.5,1,1,3,0.8,,3.2,0.0,4.6,14.4,1.2,3,1,1,1.8,,2.8,0.0,6.6,16.2,2.0,8,3,16
09_03_2025,АНГЛИЯ. ПРЕМЬЕР-ЛИГА,Челси,Лестер,1,0,1.23,7.4,11.5,5,1,4,2.1,1.5,2.0,0.0,4.9,10.8,1.9,2,0,8,1.0,2.3,1.5,0.0,3.5,10.8,0.9,6,1,2,1.9,,2.0,0.0,5.1,9.9,1.3,2,1,6,1.1,,2.2,0.1,2.6,10.9,1.1,5,19,20
09_03_2025,АНГЛИЯ. ПРЕМЬЕР-ЛИГА,Тоттенхэм,Борнмут,2,2,2.75,3.9,2.4,5,0,5,1.5,1.3,1.2,0.0,5.6,12.7,1.1,6,1,3,2.3,1.1,2.9,0.1,6.0,10.2,1.8,3,0,2,2.0,,2.2,0.0,3.0,11.6,1.4,2,0,3,1.4,,1.8,0.0,4.8,6.6,1.8,13,9,20
09_03_2025,АНГЛИЯ. ПРЕМЬЕР-ЛИГА,Манчестер Юнайтед,Арсенал,1,1,5.6,3.6,1.72,5,2,3,1.4,1.1,1.5,0.1,5.5,13.5,1.6,6,2,2,2.2,0.8,1.8,0.2,8.0,13.1,2.2,4,0,6,1.4,,2.1,0.0,1.9,6.0,1.1,6,0,4,1.8,,1.4,0.0,5.3,6.5,1.2,15,2,20
09_03_2025,ГЕРМАНИЯ. БУНДЕСЛИГА,Айнтрахт Франкфурт,Унион Берлин,1,2,1.75,4.15,4.5,4,3,3,1.4,1.6,1.3,0.0,3.8,8.7,1.4,2,1,7,0.8,1.9,1.7,0.1,4.6,8.6,1.6,4,2,2,1.3,,1.4,0.0,1.5,5.1,0.8,2,2,4,0.8,,2.4,0.0,1.9,3.1,1.4,4,14,18
09_03_2025,ГЕРМАНИЯ. БУНДЕСЛИГА,Хоффенхайм,Хайденхайм,1,1,1.83,3.9,4.3,4,2,4,1.7,2.3,2.0,0.0,4.7,12.0,2.1,1,2,7,1.0,2.1,1.6,0.0,4.1,14.3,1.9,2,2,0,1.5,,2.8,0.0,4.5,8.5,0.8,0,2,2,0.8,,0.5,0.0,5.5,9.3,0.3,13,18,18
09_03_2025,ИСПАНИЯ. ПРИМЕРА ДИВИЗИОН,Хетафе,Атлетико Мадрид,2,1,4.9,3.2,1.92,5,2,3,1.1,1.1,3.4,0.1,3.5,14.9,2.1,5,4,1,2.3,1.0,2.2,0.1,4.1,12.8,1.2,0,2,7,1.0,,2.8,0.1,2.7,5.8,0.2,7,2,0,2.8,,2.4,0.1,2.0,5.6,2.0,14,2,20
09_03_2025,ИСПАНИЯ. ПРИМЕРА ДИВИЗИОН,Реал Мадрид,Райо Вальекано,2,1,1.3,5.9,10.5,6,2,2,1.7,1.1,1.3,0.1,6.2,11.9,1.1,5,2,3,1.2,1.0,2.4,0.1,4.3,10.8,1.3,3,3,1,1.6,,2.4,0.0,4.1,7.7,1.4,1,3,3,1.3,,3.9,0.0,1.6,6.4,0.9,3,7,20
10_03_2025,ИСПАНИЯ. ПРИМЕРА ДИВИЗИОН,Атлетик Бильбао,Мальорка,1,1,1.72,3.6,5.6,4,3,3,2.0,1.3,1.3,0.0,6.2,12.2,0.8,2,3,5,0.7,1.7,1.8,0.1,3.7,12.3,2.2,3,4,1,1.3,,1.3,0.0,3.1,5.9,1.1,1,4,3,0.6,,3.1,0.1,0.8,6.9,1.4,4,9,20
10_03_2025,ИСПАНИЯ. ПРИМЕРА ДИВИЗИОН,Бетис,Лас-Пальмас,1,0,1.45,4.8,7.6,5,2,3,1.8,1.3,2.3,0.3,5.6,15.6,1.3,1,2,7,0.8,2.1,2.9,0.2,3.9,14.2,2.0,1,2,0,1.3,,1.3,0.0,6.3,18.0,5.3,0,2,1,1.0,,2.7,0.0,3.7,15.7,3.7,6,19,20
10_03_2025,ИСПАНИЯ. ПРИМЕРА ДИВИЗИОН,Реал Сосьедад,Севилья,0,1,2.25,3.15,3.65,5,1,4,1.6,1.5,1.8,0.3,5.2,13.6,1.4,2,5,3,1.4,1.7,2.3,0.0,5.2,9.5,1.4,4,2,1,1.4,,1.7,0.0,3.3,6.4,1.1,1,2,4,0.9,,1.4,0.6,1.9,10.3,0.9,10,12,20
09_03_2025,ИТАЛИЯ. СЕРИЯ А,Верона,Болонья,1,2,5.2,3.45,1.8,3,2,5,0.6,1.6,2.4,0.0,4.8,10.8,1.8,6,3,1,1.4,0.9,1.9,0.0,4.8,16.4,2.4,3,2,4,0.9,,2.6,0.1,2.7,7.0,1.8,4,2,3,1.2,,2.0,0.2,4.2,14.4,0.6,15,6,20
09_03_2025,ИТАЛИЯ. СЕРИЯ А,Наполи,Фиорентина,2,1,1.57,4.05,6.5,5,4,1,1.7,1.0,1.2,0.0,6.2,12.3,1.3,3,1,6,1.0,1.6,2.4,0.0,3.5,15.4,2.1,4,2,3,1.8,,1.6,0.1,2.9,11.2,1.4,3,2,4,1.6,,1.8,0.1,3.9,10.6,1.3,2,7,20
10_03_2025,ИТАЛИЯ. СЕРИЯ А,Эмполи,Рома,0,1,3.9,3.45,2.05,1,3,6,0.7,2.4,1.5,0.1,4.6,13.8,1.8,7,2,1,1.8,0.9,2.2,0.0,5.0,13.1,1.5,2,0,5,1.0,,2.6,0.1,3.1,8.9,1.4,5,0,2,2.7,,1.4,0.0,3.3,9.7,1.0,18,9,20
10_03_2025,ИТАЛИЯ. СЕРИЯ А,Ювентус,Аталанта,0,4,2.65,3.3,2.85,6,0,4,1.5,1.1,1.1,0.0,5.3,12.2,1.4,3,4,3,1.7,1.0,1.8,0.1,5.4,8.9,1.8,2,6,1,1.1,,1.8,0.0,3.8,9.2,1.3,1,6,2,0.9,,1.9,0.0,3.2,7.3,0.2,4,3,20
09_03_2025,ФРАНЦИЯ. ЛИГА 1,Брест,Анже,2,0,1.75,3.8,4.9,2,2,6,1.1,2.6,1.5,0.0,5.9,11.4,1.5,4,2,4,1.4,1.5,1.4,0.1,3.8,10.7,2.4,4,0,1,2.0,,0.2,0.2,0.8,3.0,0.2,1,0,4,0.6,,1.6,0.2,0.4,2.4,0.2,10,13,18
09_03_2025,ФРАНЦИЯ. ЛИГА 1,Нант,Страсбур,0,1,2.65,3.35,2.8,2,4,4,1.2,2.0,2.0,0.1,4.1,12.9,0.7,6,2,2,1.3,0.9,2.4,0.1,4.1,13.1,1.9,1,2,5,0.9,,2.1,0.0,2.4,5.5,0.6,5,2,1,1.8,,1.6,0.1,1.6,6.4,0.0,14,7,18
09_03_2025,ФРАНЦИЯ. ЛИГА 1,Гавр,Сент-Этьен,1,1,2.25,3.6,3.15,2,2,6,1.2,2.2,1.7,0.2,4.1,9.5,1.1,1,3,6,1.2,2.6,1.9,0.2,3.6,11.5,1.5,2,1,0,3.3,,2.7,0.0,1.3,3.3,1.3,0,1,2,0.7,,2.7,1.0,0.7,4.3,0.7,16,17,18
09_03_2025,ФРАНЦИЯ. ЛИГА 1,Реймс,Осер,0,2,2.45,3.35,3.05,3,2,5,0.5,1.5,1.9,0.2,3.9,12.6,1.9,1,4,5,1.1,1.6,1.3,0.2,4.1,11.0,1.6,2,2,1,1.4,,1.4,0.0,1.8,2.0,0.4,1,2,2,1.0,,0.8,0.0,1.0,2.0,0.4,15,12,18
10_03_2025,ФРАНЦИЯ. ЛИГА 1,Ницца,Лион,0,2,2.05,3.65,3.6,5,2,3,1.6,0.9,1.6,0.0,6.1,9.7,1.2,4,4,2,1.9,1.1,1.5,0.0,5.9,13.2,1.4,2,2,3,1.1,,0.9,0.0,2.9,5.0,1.4,3,2,2,1.6,,1.0,0.1,1.6,5.4,0.7,3,6,18
